CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
925521486,09/26/2016,08:30:00,,,09/26/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,73,INSIDE,RESIDENCE - APT. HOUSE,,,1008567,179326,40.658859969,-73.912357402,"(40.658859969, -73.912357402)"
352521130,09/26/2016,08:30:00,09/26/2016,08:40:00,09/26/2016,348,VEHICLE AND TRAFFIC LAWS,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",COMPLETED,MISDEMEANOR,PORT AUTHORITY,QUEENS,113,,STREET,,,1046315,187088,40.679980738,-73.776233907,"(40.679980738, -73.776233907)"
752246745,09/26/2016,08:30:00,09/26/2016,12:30:00,09/26/2016,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,94,FRONT OF,STREET,,,997751,201196,40.718911188,-73.951296911,"(40.718911188, -73.951296911)"
179926765,09/26/2016,08:30:00,,,09/26/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,45,FRONT OF,RESIDENCE-HOUSE,,,1026575,244576,40.837886724,-73.847041901,"(40.837886724, -73.847041901)"
162314762,09/26/2016,08:25:00,09/26/2016,08:34:00,09/26/2016,359,OFFENSES AGAINST PUBLIC ADMINI,750,RESISTING ARREST,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,100,,STREET,,,1041142,155355,40.592915401,-73.79515198,"(40.592915401, -73.79515198)"
353634541,09/26/2016,08:25:00,09/26/2016,18:40:00,09/26/2016,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,111,INSIDE,RESIDENCE - APT. HOUSE,,,1051868,207948,40.737195611,-73.75600388,"(40.737195611, -73.75600388)"
927640703,09/26/2016,08:20:00,,,09/26/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,INSIDE,DRUG STORE,,,1017559,241162,40.828554892,-73.879641992,"(40.828554892, -73.879641992)"
582104636,09/26/2016,08:20:00,09/26/2016,08:25:00,09/26/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE - APT. HOUSE,,,1017772,240710,40.827313476,-73.878874593,"(40.827313476, -73.878874593)"
733635092,09/26/2016,08:20:00,09/26/2016,08:20:00,09/26/2016,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,83,INSIDE,RESIDENCE - APT. HOUSE,,,1006834,195270,40.702627207,-73.918550096,"(40.702627207, -73.918550096)"
226965919,09/26/2016,08:16:00,09/26/2016,08:20:00,09/26/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,120,FRONT OF,COMMERCIAL BUILDING,,,963252,169741,40.632559704,-74.075653217,"(40.632559704, -74.075653217)"
